"","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","new_hosp_admissions","total_deaths"
"1",2020-01-01,"NC","MECKLENBURG",37119,37,0,1,36,0,37,0,NA,NA,0,0,NA,NA
"2",2020-02-01,"NC","MECKLENBURG",37119,11,0,1,10,0,11,0,0,0,0,0,NA,NA
"3",2020-03-01,"NC","ALAMANCE",37001,30,8,21,1,0,30,0,9,0,0,0,NA,0
"4",2020-03-01,"NC","BEAUFORT",37013,11,4,7,0,0,0,11,5,0,0,0,NA,0
"5",2020-03-01,"NC","BRUNSWICK",37019,27,4,23,0,0,16,11,15,0,0,0,NA,0
"6",2020-03-01,"NC","BUNCOMBE",37021,38,2,34,2,0,36,2,21,1,2,3,NA,1
"7",2020-03-01,"NC","BURKE",37023,19,6,10,3,0,15,4,6,0,0,0,NA,0
"8",2020-03-01,"NC","CABARRUS",37025,89,13,65,11,0,86,3,45,2,2,2,NA,1
"9",2020-03-01,"NC","CALDWELL",37027,12,0,10,2,0,12,0,3,0,0,0,NA,0
"10",2020-03-01,"NC","CARTERET",37031,20,3,15,2,0,17,3,11,1,1,1,NA,0
"11",2020-03-01,"NC","CATAWBA",37035,30,9,21,0,0,28,2,16,0,1,1,NA,1
"12",2020-03-01,"NC","CHATHAM",37037,22,3,18,1,0,22,0,17,0,0,0,NA,0
"13",2020-03-01,"NC","CHEROKEE",37039,11,1,10,0,0,0,11,7,1,1,1,NA,1
"14",2020-03-01,"NC","CLEVELAND",37045,12,4,8,0,0,12,0,6,0,0,0,NA,0
"15",2020-03-01,"NC","COLUMBUS",37047,11,3,8,0,0,0,11,3,0,0,0,NA,0
"16",2020-03-01,"NC","CRAVEN",37049,18,8,10,0,0,16,2,6,0,0,0,NA,0
"17",2020-03-01,"NC","CUMBERLAND",37051,70,19,49,2,0,66,4,23,0,0,0,NA,0
"18",2020-03-01,"NC","DAVIDSON",37057,65,17,48,0,0,63,2,27,0,0,0,NA,0
"19",2020-03-01,"NC","DAVIE",37059,22,5,10,7,0,20,2,11,0,0,0,NA,0
"20",2020-03-01,"NC","DURHAM",37063,210,12,108,90,0,208,2,135,0,0,1,NA,0
"21",2020-03-01,"NC","EDGECOMBE",37065,16,5,11,0,0,14,2,3,0,0,0,NA,0
"22",2020-03-01,"NC","FORSYTH",37067,141,27,81,33,0,117,24,42,1,1,1,NA,1
"23",2020-03-01,"NC","FRANKLIN",37069,12,0,10,2,0,12,0,12,0,0,0,NA,1
"24",2020-03-01,"NC","GASTON",37071,70,16,51,3,0,67,3,30,0,0,0,NA,0
"25",2020-03-01,"NC","GRANVILLE",37077,69,13,28,28,0,63,6,9,0,0,0,NA,0
"26",2020-03-01,"NC","GUILFORD",37081,130,38,79,13,0,119,11,50,1,1,1,NA,1
"27",2020-03-01,"NC","HALIFAX",37083,14,3,10,1,0,14,0,5,0,0,0,NA,0
"28",2020-03-01,"NC","HARNETT",37085,38,8,26,4,0,35,3,17,1,1,1,NA,1
"29",2020-03-01,"NC","HENDERSON",37089,39,7,28,4,0,25,14,18,0,0,0,NA,0
"30",2020-03-01,"NC","HOKE",37093,16,2,12,2,0,16,0,4,0,0,0,NA,0
"31",2020-03-01,"NC","IREDELL",37097,61,11,47,3,0,49,12,25,0,0,0,NA,0
"32",2020-03-01,"NC","JOHNSTON",37101,49,14,33,2,0,47,2,18,1,0,0,NA,1
"33",2020-03-01,"NC","LENOIR",37107,11,4,5,2,0,11,0,3,0,0,0,NA,0
"34",2020-03-01,"NC","LINCOLN",37109,15,0,12,3,0,15,0,4,0,0,0,NA,0
"35",2020-03-01,"NC","MCDOWELL",37111,11,1,4,6,0,11,0,7,0,0,0,NA,0
"36",2020-03-01,"NC","MECKLENBURG",37119,829,167,595,67,0,797,32,420,1,1,1,NA,2
"37",2020-03-01,"NC","MOORE",37125,23,5,11,7,0,12,11,9,0,1,1,NA,0
"38",2020-03-01,"NC","NASH",37127,17,8,9,0,0,16,1,11,0,0,0,NA,0
"39",2020-03-01,"NC","NEW HANOVER",37129,51,14,37,0,0,38,13,29,0,0,0,NA,0
"40",2020-03-01,"NC","ONSLOW",37133,25,5,20,0,0,14,11,8,1,1,1,NA,1
"41",2020-03-01,"NC","ORANGE",37135,60,5,49,6,0,57,3,37,0,0,1,NA,0
"42",2020-03-01,"NC","PITT",37147,38,4,33,1,0,38,0,25,0,0,0,NA,0
"43",2020-03-01,"NC","RANDOLPH",37151,40,8,32,0,0,28,12,18,0,0,1,NA,0
"44",2020-03-01,"NC","ROWAN",37159,86,15,59,12,0,83,3,24,1,1,1,NA,1
"45",2020-03-01,"NC","RUTHERFORD",37161,36,4,29,3,0,35,1,7,0,0,0,NA,0
"46",2020-03-01,"NC","SURRY",37171,13,2,10,1,0,12,1,2,0,0,0,NA,0
"47",2020-03-01,"NC","UNION",37179,87,18,69,0,0,85,2,42,0,0,1,NA,0
"48",2020-03-01,"NC","VANCE",37181,12,2,9,1,0,12,0,4,0,0,0,NA,0
"49",2020-03-01,"NC","WAKE",37183,311,26,250,35,0,310,1,193,0,2,3,NA,0
"50",2020-03-01,"NC","WATAUGA",37189,11,0,9,2,0,11,0,7,0,0,0,NA,0
"51",2020-03-01,"NC","WAYNE",37191,34,8,23,3,0,34,0,5,0,0,0,NA,0
"52",2020-03-01,"NC","WILSON",37195,45,22,23,0,0,32,13,16,0,0,0,NA,0
"53",2020-03-01,"NC","YADKIN",37197,11,3,6,2,0,0,11,3,0,0,0,NA,0
"54",2020-04-01,"NC","ALAMANCE",37001,112,24,80,8,0,95,17,97,1,0,0,NA,2
"55",2020-04-01,"NC","ANSON",37007,26,6,20,0,0,26,0,29,0,0,0,NA,0
"56",2020-04-01,"NC","BEAUFORT",37013,15,3,11,1,0,14,1,16,0,1,1,NA,0
"57",2020-04-01,"NC","BLADEN",37017,38,1,33,4,0,38,0,25,0,0,0,NA,0
"58",2020-04-01,"NC","BRUNSWICK",37019,19,1,15,3,0,19,0,29,2,2,2,NA,2
"59",2020-04-01,"NC","BUNCOMBE",37021,59,10,47,2,0,57,2,46,4,6,6,NA,3
"60",2020-04-01,"NC","BURKE",37023,90,10,39,41,0,61,29,99,8,8,8,NA,9
"61",2020-04-01,"NC","CABARRUS",37025,241,32,200,9,11,211,19,262,9,11,12,NA,10
"62",2020-04-01,"NC","CALDWELL",37027,31,3,28,0,0,29,2,32,0,0,0,NA,0
"63",2020-04-01,"NC","CARTERET",37031,12,2,9,1,0,11,1,16,2,1,1,NA,3
"64",2020-04-01,"NC","CASWELL",37033,25,6,18,1,0,25,0,25,0,0,0,NA,0
"65",2020-04-01,"NC","CATAWBA",37035,39,8,29,2,0,38,1,41,1,1,1,NA,0
"66",2020-04-01,"NC","CHATHAM",37037,338,37,256,45,0,310,28,334,8,17,17,NA,19
"67",2020-04-01,"NC","CHEROKEE",37039,14,1,13,0,0,14,0,13,0,1,1,NA,0
"68",2020-04-01,"NC","CLEVELAND",37045,45,3,34,8,0,43,2,42,2,3,3,NA,2
"69",2020-04-01,"NC","COLUMBUS",37047,157,27,120,10,0,121,36,145,10,7,8,NA,10
"70",2020-04-01,"NC","CRAVEN",37049,50,12,26,12,0,47,3,34,4,6,6,NA,4
"71",2020-04-01,"NC","CUMBERLAND",37051,286,41,226,19,0,260,26,251,8,13,13,NA,8
"72",2020-04-01,"NC","DARE",37055,13,1,11,1,0,12,1,11,1,1,1,NA,1
"73",2020-04-01,"NC","DAVIDSON",37057,112,14,97,1,0,85,27,138,8,7,8,NA,9
"74",2020-04-01,"NC","DAVIE",37059,11,0,6,5,0,11,0,20,2,0,0,NA,2
"75",2020-04-01,"NC","DUPLIN",37061,160,28,127,5,0,128,32,110,0,0,0,NA,0
"76",2020-04-01,"NC","DURHAM",37063,607,50,339,218,22,561,24,606,21,42,46,NA,21
"77",2020-04-01,"NC","EDGECOMBE",37065,106,26,73,7,0,98,8,92,4,3,3,NA,4
"78",2020-04-01,"NC","FORSYTH",37067,205,21,167,17,0,179,26,203,4,10,10,NA,4
"79",2020-04-01,"NC","FRANKLIN",37069,86,10,54,22,0,39,47,92,22,9,9,NA,19
"80",2020-04-01,"NC","GASTON",37071,99,18,76,5,0,97,2,119,3,4,4,NA,4
"81",2020-04-01,"NC","GRANVILLE",37077,99,14,57,28,0,96,3,123,5,0,0,NA,5
"82",2020-04-01,"NC","GREENE",37079,25,2,13,10,0,13,12,14,0,0,0,NA,0
"83",2020-04-01,"NC","GUILFORD",37081,432,76,293,63,11,380,41,393,27,36,37,NA,31
"84",2020-04-01,"NC","HALIFAX",37083,60,10,29,21,0,58,2,55,1,1,1,NA,1
"85",2020-04-01,"NC","HARNETT",37085,140,29,102,9,11,82,47,146,6,7,7,NA,7
"86",2020-04-01,"NC","HAYWOOD",37087,12,0,12,0,0,12,0,10,0,0,0,NA,0
"87",2020-04-01,"NC","HENDERSON",37089,173,11,86,76,30,138,5,176,20,17,20,NA,21
"88",2020-04-01,"NC","HERTFORD",37091,43,4,35,4,0,42,1,36,1,3,3,NA,1
"89",2020-04-01,"NC","HOKE",37093,83,3,46,34,0,83,0,80,0,0,0,NA,0
"90",2020-04-01,"NC","IREDELL",37097,64,13,48,3,0,61,3,91,6,5,6,NA,6
"91",2020-04-01,"NC","JACKSON",37099,28,3,13,12,0,27,1,18,0,2,2,NA,0
"92",2020-04-01,"NC","JOHNSTON",37101,140,26,102,12,15,110,15,148,12,7,9,NA,13
"93",2020-04-01,"NC","LEE",37105,230,23,194,13,0,226,4,165,0,2,2,NA,0
"94",2020-04-01,"NC","LENOIR",37107,94,14,78,2,0,88,6,68,4,3,4,NA,4
"95",2020-04-01,"NC","LINCOLN",37109,16,1,15,0,0,16,0,23,0,0,0,NA,0
"96",2020-04-01,"NC","MARTIN",37117,17,6,10,1,0,15,2,14,0,0,0,NA,0
"97",2020-04-01,"NC","MCDOWELL",37111,19,2,14,3,0,17,2,17,1,1,1,NA,1
"98",2020-04-01,"NC","MECKLENBURG",37119,1079,142,814,123,33,1028,18,1213,46,51,56,NA,47
"99",2020-04-01,"NC","MONTGOMERY",37123,32,4,27,1,0,31,1,29,2,0,0,NA,1
"100",2020-04-01,"NC","MOORE",37125,121,15,53,53,0,103,18,123,6,7,8,NA,6
"101",2020-04-01,"NC","NASH",37127,94,18,71,5,0,81,13,90,3,2,2,NA,3
"102",2020-04-01,"NC","NEW HANOVER",37129,54,5,40,9,0,53,1,46,3,6,6,NA,3
"103",2020-04-01,"NC","ONSLOW",37133,32,2,23,7,0,31,1,36,0,2,3,NA,0
"104",2020-04-01,"NC","ORANGE",37135,153,20,67,66,0,81,72,203,16,14,14,NA,29
"105",2020-04-01,"NC","PASQUOTANK",37139,17,0,16,1,0,17,0,31,1,1,1,NA,1
"106",2020-04-01,"NC","PENDER",37141,19,3,12,4,0,18,1,13,1,0,0,NA,1
"107",2020-04-01,"NC","PERSON",37145,14,2,6,6,0,14,0,18,0,0,0,NA,1
"108",2020-04-01,"NC","PITT",37147,106,15,90,1,0,106,0,97,2,4,4,NA,2
"109",2020-04-01,"NC","POLK",37149,11,1,9,1,0,0,11,18,0,0,0,NA,0
"110",2020-04-01,"NC","RANDOLPH",37151,248,21,225,2,0,243,5,193,3,0,0,NA,3
"111",2020-04-01,"NC","RICHMOND",37153,57,12,39,6,0,55,2,48,2,0,0,NA,2
"112",2020-04-01,"NC","ROBESON",37155,326,35,262,29,0,316,10,208,3,3,3,NA,4
"113",2020-04-01,"NC","ROCKINGHAM",37157,31,6,24,1,0,31,0,26,2,0,0,NA,2
"114",2020-04-01,"NC","ROWAN",37159,358,32,305,21,0,322,36,353,21,18,27,NA,23
"115",2020-04-01,"NC","RUTHERFORD",37161,114,19,92,3,0,107,7,133,6,4,4,NA,6
"116",2020-04-01,"NC","SAMPSON",37163,116,16,97,3,0,114,2,69,0,0,0,NA,0
"117",2020-04-01,"NC","SCOTLAND",37165,30,1,29,0,0,30,0,24,0,0,0,NA,0
"118",2020-04-01,"NC","STANLY",37167,53,3,19,31,0,40,13,25,4,2,2,NA,4
"119",2020-04-01,"NC","SURRY",37171,16,2,14,0,0,15,1,11,0,1,1,NA,0
"120",2020-04-01,"NC","UNION",37179,191,28,155,8,0,156,35,204,11,5,5,NA,11
"121",2020-04-01,"NC","VANCE",37181,111,16,68,27,0,62,49,93,6,13,14,NA,6
"122",2020-04-01,"NC","WAKE",37183,629,95,455,79,13,581,35,627,18,23,26,NA,20
"123",2020-04-01,"NC","WAYNE",37191,613,34,175,404,0,575,38,657,10,13,13,NA,11
"124",2020-04-01,"NC","WILKES",37193,103,6,14,83,0,101,2,57,1,0,0,NA,0
"125",2020-04-01,"NC","WILSON",37195,141,26,110,5,0,126,15,148,7,5,5,NA,7
"126",2020-04-01,"NC","YADKIN",37197,16,2,14,0,0,16,0,14,1,0,0,NA,1
"127",2020-05-01,"NC","ALAMANCE",37001,338,58,64,216,0,284,54,283,23,8,10,NA,26
"128",2020-05-01,"NC","ALEXANDER",37003,46,2,34,10,0,45,1,31,0,0,0,NA,0
"129",2020-05-01,"NC","ANSON",37007,40,7,30,3,0,39,1,38,1,0,0,NA,1
"130",2020-05-01,"NC","ASHE",37009,32,2,29,1,0,31,1,31,0,0,0,NA,1
"131",2020-05-01,"NC","BEAUFORT",37013,20,0,18,2,0,20,0,14,0,1,1,NA,0
"132",2020-05-01,"NC","BLADEN",37017,85,8,56,21,0,74,11,81,2,0,0,NA,2
"133",2020-05-01,"NC","BRUNSWICK",37019,68,3,61,4,0,66,2,52,2,1,1,NA,0
"134",2020-05-01,"NC","BUNCOMBE",37021,296,20,259,17,20,252,24,281,18,17,31,NA,24
"135",2020-05-01,"NC","BURKE",37023,386,10,187,189,0,380,6,327,7,5,7,NA,7
"136",2020-05-01,"NC","CABARRUS",37025,245,13,206,26,0,219,26,194,11,10,10,NA,12
"137",2020-05-01,"NC","CALDWELL",37027,155,8,119,28,0,151,4,123,3,3,3,NA,3
"138",2020-05-01,"NC","CARTERET",37031,11,0,9,2,0,11,0,9,6,0,0,NA,0
"139",2020-05-01,"NC","CASWELL",37033,63,4,56,3,0,62,1,60,1,0,0,NA,1
"140",2020-05-01,"NC","CATAWBA",37035,223,15,202,6,0,205,18,169,6,6,6,NA,5
"141",2020-05-01,"NC","CHATHAM",37037,318,17,192,109,0,282,36,284,18,13,14,NA,16
"142",2020-05-01,"NC","CLEVELAND",37045,77,6,53,18,0,75,2,43,0,0,0,NA,0
"143",2020-05-01,"NC","COLUMBUS",37047,185,34,138,13,0,163,22,185,16,4,4,NA,16
"144",2020-05-01,"NC","CRAVEN",37049,179,8,162,9,0,168,11,169,1,1,1,NA,1
"145",2020-05-01,"NC","CUMBERLAND",37051,413,52,333,28,0,362,51,442,15,16,18,NA,19
"146",2020-05-01,"NC","DAVIDSON",37057,306,17,272,17,0,300,6,264,5,4,5,NA,3
"147",2020-05-01,"NC","DAVIE",37059,88,0,64,24,0,88,0,71,0,0,0,NA,0
"148",2020-05-01,"NC","DUPLIN",37061,782,84,648,50,0,757,25,764,18,9,10,NA,25
"149",2020-05-01,"NC","DURHAM",37063,1151,48,951,152,0,1125,26,926,26,33,36,NA,28
"150",2020-05-01,"NC","EDGECOMBE",37065,114,17,87,10,0,113,1,108,5,1,1,NA,5
"151",2020-05-01,"NC","FORSYTH",37067,1399,119,1024,256,0,1355,44,1157,6,27,27,NA,11
"152",2020-05-01,"NC","FRANKLIN",37069,73,5,53,15,0,73,0,56,0,0,0,NA,2
"153",2020-05-01,"NC","GASTON",37071,189,25,152,12,0,187,2,156,5,1,1,NA,4
"154",2020-05-01,"NC","GRANVILLE",37077,190,44,131,15,0,160,30,182,5,2,2,NA,7
"155",2020-05-01,"NC","GREENE",37079,67,9,49,9,0,67,0,59,2,0,0,NA,2
"156",2020-05-01,"NC","GUILFORD",37081,1046,112,709,225,26,972,48,899,37,58,64,NA,48
"157",2020-05-01,"NC","HALIFAX",37083,113,11,96,6,0,113,0,120,0,0,0,NA,0
"158",2020-05-01,"NC","HARNETT",37085,144,15,112,17,0,141,3,126,20,11,11,NA,20
"159",2020-05-01,"NC","HAYWOOD",37087,39,0,38,1,0,39,0,38,0,0,0,NA,0
"160",2020-05-01,"NC","HENDERSON",37089,148,13,102,33,0,131,17,155,28,19,21,NA,25
"161",2020-05-01,"NC","HERTFORD",37091,88,22,54,12,0,72,16,90,1,9,9,NA,2
"162",2020-05-01,"NC","HOKE",37093,161,9,75,77,0,157,4,160,1,0,0,NA,1
"163",2020-05-01,"NC","IREDELL",37097,173,8,147,18,0,173,0,150,0,1,1,NA,0
"164",2020-05-01,"NC","JACKSON",37099,23,2,18,3,0,23,0,17,1,1,1,NA,1
"165",2020-05-01,"NC","JOHNSTON",37101,392,23,345,24,0,380,12,293,8,3,3,NA,8
"166",2020-05-01,"NC","LEE",37105,273,13,254,6,0,271,2,297,4,2,2,NA,4
"167",2020-05-01,"NC","LENOIR",37107,130,16,98,16,0,126,4,146,3,6,7,NA,4
"168",2020-05-01,"NC","LINCOLN",37109,65,7,55,3,0,64,1,46,0,0,0,NA,0
"169",2020-05-01,"NC","MACON",37113,99,1,69,29,0,99,0,81,0,0,0,NA,0
"170",2020-05-01,"NC","MARTIN",37117,58,16,39,3,0,56,2,56,4,0,0,NA,4
"171",2020-05-01,"NC","MCDOWELL",37111,61,4,51,6,0,60,1,39,0,0,0,NA,0
"172",2020-05-01,"NC","MECKLENBURG",37119,3232,168,2404,660,32,3140,60,2674,42,48,51,NA,49
"173",2020-05-01,"NC","MONTGOMERY",37123,121,11,108,2,0,106,15,108,2,0,0,NA,3
"174",2020-05-01,"NC","MOORE",37125,93,10,40,43,0,92,1,103,4,7,8,NA,4
"175",2020-05-01,"NC","NASH",37127,106,13,89,4,0,105,1,107,1,2,2,NA,1
